YEAR,MO,DY,HR,ALLSKY_SFC_UVA,RH2M,PRECTOTCORR,T2M,Rancha
2024,2,1,0,0,97.12,0.03,3.28,0
2024,2,1,1,0,97.06,0.02,3.23,0
2024,2,1,2,0,97.62,0.01,3.11,0
2024,2,1,3,0,98.44,0.01,3.01,0
2024,2,1,4,0,99.31,0.01,2.93,0
2024,2,1,5,0,99.94,0.01,2.86,0
2024,2,1,6,3,93.56,0.01,4.25,0
2024,2,1,7,10.91,84.38,0,6.03,0
2024,2,1,8,23.09,72.56,0,8.08,0
2024,2,1,9,35.31,60.88,0,10.13,0
2024,2,1,10,47.14,50.69,0,12.38,0
2024,2,1,11,56.12,43.81,0.01,14.32,0
2024,2,1,12,58.48,39.62,0.01,15.79,0
2024,2,1,13,52.81,39.69,0.02,15.98,0
2024,2,1,14,37.6,43.25,0.02,15.08,0
2024,2,1,15,27.73,49.38,0.02,13.44,0
2024,2,1,16,14.62,58.75,0.02,11.3,0
2024,2,1,17,6.09,69.5,0.02,9.3,0
2024,2,1,18,0.67,79.25,0.02,7.88,0
2024,2,1,19,0,85.5,0.01,7.14,0
2024,2,1,20,0,89.56,0.01,6.68,0
2024,2,1,21,0,91.81,0.01,6.44,0
2024,2,1,22,0,93.5,0.01,6.19,0
2024,2,1,23,0,95.38,0.01,5.84,0
2024,2,2,0,0,95.5,0.01,5.64,0
2024,2,2,1,0,95.94,0,5.3,0
2024,2,2,2,0,96.5,0,4.97,0
2024,2,2,3,0,97.44,0,4.66,0
2024,2,2,4,0,98.94,0,4.26,0
2024,2,2,5,0,99.75,0,4.05,0
2024,2,2,6,2.8,90.06,0,5.45,0
2024,2,2,7,11.73,73.44,0.01,7.94,0
2024,2,2,8,25.74,62,0.02,10.29,0
2024,2,2,9,35.02,53.44,0.04,12.64,0
2024,2,2,10,43.57,47.56,0.06,14.37,0
2024,2,2,11,51.35,44.12,0.07,15.37,0
2024,2,2,12,53.8,45,0.08,15.24,0
2024,2,2,13,48.09,50.12,0.08,14.16,0
2024,2,2,14,39.88,56.5,0.08,12.83,0
2024,2,2,15,30.59,63.88,0.08,11.43,0
2024,2,2,16,16.96,71,0.07,10.15,0
2024,2,2,17,6.46,78.81,0.07,8.98,0
2024,2,2,18,0.57,86.56,0.05,8.02,0
2024,2,2,19,0,90.31,0.05,7.68,0
2024,2,2,20,0,92.19,0.04,7.48,0
2024,2,2,21,0,93.25,0.03,7.26,0
2024,2,2,22,0,94.19,0.03,6.98,0
2024,2,2,23,0,94.69,0.03,6.7,0
2024,2,3,0,0,95.44,0.03,6.43,0
2024,2,3,1,0,96.06,0.02,6.17,0
2024,2,3,2,0,96.44,0.03,6,0
2024,2,3,3,0,96.69,0.03,5.91,0
2024,2,3,4,0,96.94,0.03,5.8,0
2024,2,3,5,0,97.19,0.03,5.73,0
2024,2,3,6,2.24,93.19,0.03,6.48,0
2024,2,3,7,8.34,85.94,0.04,7.65,0
2024,2,3,8,20.66,75.5,0.04,9.37,0
2024,2,3,9,31.59,61.81,0.05,11.62,0
2024,2,3,10,40.05,52.19,0.05,13.55,0
2024,2,3,11,44.98,46.69,0.06,14.97,0
2024,2,3,12,50.2,44.25,0.07,15.75,0
2024,2,3,13,45.43,44.75,0.08,15.77,0
2024,2,3,14,38.59,48.56,0.09,14.85,0
2024,2,3,15,30.16,54.81,0.09,13.39,0
2024,2,3,16,17.84,63.62,0.09,11.5,0
2024,2,3,17,6.04,74.19,0.08,9.49,0
2024,2,3,18,0.62,84,0.07,8.01,0
2024,2,3,19,0,88.25,0.05,7.5,0
2024,2,3,20,0,90.19,0.05,7.34,0
2024,2,3,21,0,92.19,0.07,7.24,0
2024,2,3,22,0,93.44,0.07,7.16,0
2024,2,3,23,0,94.75,0.12,6.8,0
2024,2,4,0,0,95.12,0.16,6.48,0
2024,2,4,1,0,95.25,0.11,6.28,0
2024,2,4,2,0,95.75,0.07,5.87,0
2024,2,4,3,0,95.88,0.06,5.49,0
2024,2,4,4,0,96,0.07,5.2,0
2024,2,4,5,0,96.5,0.08,4.87,0
2024,2,4,6,2.53,92.31,0.07,5.41,0
2024,2,4,7,9.69,83,0.08,6.97,0
2024,2,4,8,19.52,67.69,0.08,9.75,0
2024,2,4,9,30.71,53.75,0.09,12.48,0
2024,2,4,10,38.53,46,0.1,14.56,0
2024,2,4,11,43.72,42.19,0.1,15.87,0
2024,2,4,12,47.42,42.75,0.09,15.9,0
2024,2,4,13,43.09,45.19,0.09,15.27,0
2024,2,4,14,34.64,49.5,0.08,14,0
2024,2,4,15,29.73,54.38,0.07,12.69,0
2024,2,4,16,16.87,61.44,0.06,10.98,0
2024,2,4,17,8.08,70.81,0.06,9.08,0
2024,2,4,18,0.73,79.81,0.05,7.65,0
2024,2,4,19,0,85.12,0.03,6.91,0
2024,2,4,20,0,88.5,0.02,6.36,0
2024,2,4,21,0,90.75,0.02,5.94,0
2024,2,4,22,0,92.31,0.01,5.62,0
2024,2,4,23,0,93,0.01,5.4,0
2024,2,5,0,0,95.06,0.01,4.8,0
2024,2,5,1,0,94.75,0.01,4.44,0
2024,2,5,2,0,93.94,0.01,4.39,0
2024,2,5,3,0,93.88,0.01,4.28,0
2024,2,5,4,0,94.25,0,4.15,0
2024,2,5,5,0,94,0,4.15,0
2024,2,5,6,2.66,90.25,0,4.79,0
2024,2,5,7,9.78,81.38,0,6.33,0
2024,2,5,8,16.8,63.75,0,9.26,0
2024,2,5,9,23.35,47.94,0,12.17,0
2024,2,5,10,33.2,38.94,0,14.37,0
2024,2,5,11,38.31,33.94,0.01,16.04,0
2024,2,5,12,49.83,32.56,0.01,16.8,0
2024,2,5,13,48.62,33.75,0.01,16.73,0
2024,2,5,14,40,36.62,0.02,15.98,0
2024,2,5,15,36.1,41.31,0.01,14.61,0
2024,2,5,16,21.46,48,0.01,12.77,0
2024,2,5,17,9.22,57.56,0.01,10.49,0
2024,2,5,18,0.76,70.12,0.01,8.27,0
2024,2,5,19,0,79.31,0.01,7.16,0
2024,2,5,20,0,84.81,0.01,6.59,0
2024,2,5,21,0,88.19,0.02,6.25,0
2024,2,5,22,0,91.25,0.02,5.92,0
2024,2,5,23,0,93,0.02,5.75,0
2024,2,6,0,0,94.5,0.02,5.54,0
2024,2,6,1,0,95.06,0.01,5.45,0
2024,2,6,2,0,96.19,0.01,5.2,0
2024,2,6,3,0,95.94,0.01,5.17,0
2024,2,6,4,0,96.06,0.01,5.06,0
2024,2,6,5,0,95.44,0.01,5.06,0
2024,2,6,6,3.71,91.44,0.01,5.58,0
2024,2,6,7,17.34,83.19,0,6.92,0
2024,2,6,8,33.73,68.88,0,9.27,0
2024,2,6,9,38.93,56.94,0,11.45,0
2024,2,6,10,46.54,49.44,0,13.09,0
2024,2,6,11,52.16,45.06,0,14.19,0
2024,2,6,12,54.63,43.81,0,14.73,0
2024,2,6,13,43.97,44.25,0,14.77,0
2024,2,6,14,40.34,45.75,0,14.39,0
2024,2,6,15,34.59,51.25,0,13.08,0
2024,2,6,16,20.89,59.69,0,11.26,0
2024,2,6,17,10.09,69.94,0,9.3,0
2024,2,6,18,0.77,80.31,0,7.66,0
2024,2,6,19,0,85.31,0,6.98,0
2024,2,6,20,0,87.31,0,6.65,0
2024,2,6,21,0,88.56,0,6.37,0
2024,2,6,22,0,89.81,0,6.07,0
2024,2,6,23,0,90.69,0,5.76,0
2024,2,7,0,0,92.25,0,5.3,0
2024,2,7,1,0,93.12,0,5.08,0
2024,2,7,2,0,94.69,0,4.71,0
2024,2,7,3,0,95,0,4.48,0
